-------------------------------
angle,output,Kp,Ki,Kd
0.01,-0.29,1.69,0.4,0.38
0.01,-0.18,1.5,0.4,0.38
0.01,-0.28,1.49,0.4,0.38
0.0,-0.18,1.49,0.4,0.38
-0.0,-0.18,1.49,0.4,0.38
-0.01,-0.12,1.49,0.4,0.38
-0.01,-0.22,1.49,0.4,0.38
-0.01,-0.22,1.49,0.4,0.37
-0.02,-0.16,1.49,0.39,0.38
-0.01,-0.22,1.49,0.4,0.38
-0.01,-0.22,1.49,0.4,0.38
-0.02,-0.16,1.49,0.4,0.38
-0.02,-0.16,1.49,0.4,0.38
-0.03,-0.11,1.49,0.4,0.38
-0.03,-0.21,1.49,0.4,0.38
-0.02,-0.26,1.49,0.4,0.38
-0.01,-0.26,1.49,0.4,0.37
-0.0,-0.27,1.49,0.4,0.38
-0.0,-0.22,1.49,0.4,0.38
-0.0,-0.22,1.49,0.4,0.38
0.0,-0.27,1.49,0.4,0.38
0.0,-0.22,1.49,0.4,0.38
-0.0,-0.17,1.49,0.4,0.38
-0.01,-0.17,1.49,0.4,0.38
-0.01,-0.16,1.49,0.4,0.38
-0.01,-0.21,1.49,0.4,0.37
0.01,-0.37,1.49,0.4,0.38
0.01,-0.23,1.49,0.4,0.38
0.01,-0.28,1.49,0.4,0.38
0.0,-0.18,1.49,0.4,0.37
0.01,-0.28,1.49,0.4,0.37
0.03,-0.38,1.49,0.4,0.37
0.03,-0.29,1.49,0.4,0.38
0.03,-0.24,1.49,0.4,0.38
0.04,-0.34,1.49,0.4,0.37
-0.17,1.54,1.49,0.4,0.37
-0.16,-0.01,1.49,0.4,0.38
-0.14,-0.23,1.49,0.4,0.38
-0.13,-0.03,1.49,0.4,0.37
-0.14,0.09,1.49,0.39,0.38
0.11,-2.27,1.49,0.4,0.38
0.1,-0.28,1.49,0.4,0.38
0.09,-0.32,1.49,0.4,0.38
0.09,-0.32,1.49,0.4,0.37
0.09,-0.38,1.49,0.4,0.38
0.09,-0.38,1.49,0.4,0.38
0.1,-0.44,1.49,0.4,0.38
0.1,-0.39,1.49,0.4,0.38
0.09,-0.29,1.49,0.4,0.38
0.09,-0.34,1.49,0.4,0.38
0.1,-0.44,1.49,0.4,0.38
0.1,-0.4,1.49,0.4,0.37
0.13,-0.61,1.49,0.4,0.37
0.13,-0.47,1.49,0.4,0.38
0.16,-0.68,1.49,0.4,0.37
0.14,-0.34,1.49,0.4,0.38
0.13,-0.33,1.49,0.4,0.38
0.08,-0.01,1.49,0.4,0.37
0.04,-0.03,1.49,0.4,0.38
0.03,-0.17,1.49,0.4,0.38
0.01,-0.16,1.49,0.4,0.38
0.02,-0.31,1.49,0.4,0.38
0.02,-0.26,1.49,0.4,0.37
-0.0,-0.1,1.49,0.4,0.38
-0.09,0.49,1.49,0.4,0.37
0.02,-1.06,1.49,0.4,0.38
0.02,-0.26,1.5,0.4,0.37
-0.1,0.76,1.49,0.4,0.38
-0.09,-0.19,1.49,0.4,0.38
-0.07,-0.25,1.49,0.4,0.38
-0.07,-0.15,1.49,0.4,0.38
-0.07,-0.15,1.49,0.4,0.37
-0.06,-0.2,1.5,0.4,0.37
-0.06,-0.15,1.49,0.4,0.38
-0.06,-0.15,1.49,0.4,0.38
-0.06,-0.15,1.49,0.4,0.38
-0.05,-0.25,1.49,0.4,0.37
-0.05,-0.15,1.49,0.4,0.38
-0.06,-0.1,1.49,0.4,0.38
-0.05,-0.2,1.49,0.4,0.38
-0.05,-0.15,1.49,0.4,0.38
-0.04,-0.25,1.49,0.4,0.38
-0.03,-0.25,1.49,0.39,0.37
-0.02,-0.26,1.49,0.4,0.37
-0.03,-0.11,1.49,0.4,0.38
-0.02,-0.26,1.49,0.4,0.37
-0.01,-0.27,1.48,0.4,0.38
-0.01,-0.27,1.48,0.4,0.37
-0.01,-0.22,1.45,0.4,0.38
-0.02,-0.12,1.49,0.4,0.38
-0.02,-0.22,1.46,0.4,0.38
-0.01,-0.24,0.0,0.4,0.38
0.0,-0.37,0.0,0.4,0.38
-0.01,-0.13,0.0,0.4,0.38
-0.0,-0.28,0.0,0.4,0.38
-0.08,0.36,0.0,0.4,0.38
-0.06,-0.37,0.0,0.4,0.38
-0.02,-0.53,0.0,0.4,0.38
0.0,-0.37,0.0,0.4,0.38
0.0,-0.22,0.0,0.4,0.38
-0.01,-0.13,0.0,0.4,0.38
-0.01,-0.23,0.0,0.4,0.37
-0.01,-0.23,0.0,0.4,0.38
-0.02,-0.14,0.0,0.4,0.37
-0.02,-0.24,0.0,0.4,0.38
-0.0,-0.32,0.0,0.4,0.38
-0.02,-0.09,0.0,0.4,0.38
-0.02,-0.16,1.17,0.4,0.38
-0.15,0.96,1.49,0.4,0.38
-0.13,-0.18,1.48,0.4,0.37
-0.12,-0.14,1.49,0.4,0.38
-0.09,-0.24,1.49,0.4,0.37
-0.07,-0.26,1.49,0.4,0.37
-0.05,-0.27,1.49,0.39,0.38
-0.05,-0.12,1.49,0.4,0.38
-0.04,-0.23,1.49,0.4,0.38
-0.03,-0.23,1.49,0.4,0.38
-0.04,-0.13,1.49,0.4,0.38
-0.03,-0.18,1.49,0.4,0.38
-0.03,-0.19,1.49,0.4,0.37
-0.04,-0.08,1.49,0.4,0.37
-0.03,-0.18,1.49,0.4,0.38
-0.03,-0.18,1.49,0.4,0.37
-0.01,-0.35,1.1,0.4,0.38
-0.0,-0.25,1.49,0.4,0.37
0.01,-0.29,0.0,0.39,0.38
0.0,-0.15,0.0,0.4,0.37
0.02,-0.33,0.0,0.4,0.38
0.01,-0.14,0.0,0.4,0.38
0.03,-0.32,0.0,0.4,0.37
0.04,-0.31,0.0,0.39,0.38
0.04,-0.22,0.0,0.4,0.38
0.04,-0.17,0.0,0.4,0.38
0.04,-0.18,0.0,0.4,0.37
0.03,-0.17,0.0,0.39,0.38
0.05,-0.36,0.0,0.4,0.38
0.05,-0.17,0.0,0.4,0.38
0.05,-0.22,0.0,0.4,0.37
0.05,-0.22,0.0,0.4,0.38
0.03,-0.09,0.0,0.4,0.38
0.02,-0.1,0.0,0.4,0.38
0.04,-0.37,0.0,0.39,0.37
0.05,-0.27,0.0,0.4,0.37
0.57,-5.0,1.48,0.4,0.38
0.52,0.11,0.0,0.4,0.38
0.47,0.15,0.0,0.4,0.38
0.41,0.18,0.0,0.4,0.37
0.38,-0.04,0.0,0.4,0.37
0.34,-0.48,1.47,0.4,0.38
0.37,-1.0,1.47,0.4,0.38
0.89,-5.5,1.45,0.4,0.37
0.81,-0.9,1.49,0.4,0.37
0.75,-0.96,1.49,0.4,0.38
0.71,-1.1,1.49,0.4,0.37
0.65,-0.92,1.49,0.4,0.38
0.63,-1.12,1.49,0.4,0.37
0.63,-1.28,1.5,0.4,0.38
0.59,-1.02,1.49,0.4,0.38
0.57,-1.07,1.5,0.4,0.38
0.53,-0.95,1.49,0.4,0.38
0.49,-0.84,1.49,0.4,0.38
0.43,-0.61,1.49,0.4,0.38
0.38,-0.64,1.5,0.4,0.38
0.3,-0.26,1.5,0.4,0.37
0.23,-0.3,1.49,0.4,0.38
0.19,-0.44,1.5,0.4,0.37
0.16,-0.47,1.5,0.4,0.37
0.13,-0.4,1.5,0.4,0.37
0.17,-1.07,1.5,0.4,0.38
0.12,-0.26,1.5,0.4,0.37
0.1,-0.43,1.5,0.4,0.38
0.07,-0.36,1.5,0.4,0.38
0.07,-0.56,1.5,0.4,0.38
0.07,-0.62,1.5,0.4,0.38
0.08,-0.62,1.49,0.4,0.38
0.06,-0.41,1.49,0.4,0.38
0.04,-0.4,1.5,0.4,0.38
0.02,-0.34,1.5,0.4,0.37
0.01,-0.38,1.49,0.4,0.37
-0.01,-0.32,1.5,0.4,0.38
0.02,-0.73,1.5,0.4,0.38
0.02,-0.54,1.49,0.4,0.38
0.04,-0.69,1.49,0.39,0.38
0.07,-0.77,1.5,0.4,0.38
0.08,-0.73,1.5,0.4,0.37
0.09,-0.69,1.49,0.4,0.37
0.11,-0.75,1.5,0.4,0.38
0.11,-0.65,1.5,0.4,0.38
0.11,-0.66,1.5,0.4,0.37
0.1,-0.55,1.5,0.4,0.37
0.08,-0.45,1.5,0.4,0.37
0.08,-0.59,1.5,0.4,0.38
0.17,-1.45,1.5,0.4,0.38
0.16,-0.65,1.49,0.4,0.37
0.15,-0.65,1.5,0.4,0.38
0.11,-0.43,1.5,0.4,0.38
